question,answer,model_answer,id,context_id
کلیسای کاتولیک به چند آیین اصلی کلیسا باور دارد؟,هفت,<ANSWER>هفت آیین</ANSWER>,1630217,118
سؤال همیشگی والدینی که علاقمند هستند فرزندانشان شنا یاد بگیرند چیست؟,چه موقع باید آموزش شنا را شروع کرد,<ANSWER>چگونه از غرق شدن جلوگیری کنیم؟</ANSWER>,1645688,128
چه کسی شنای پروانه را ابداع کرد؟,,<ANSWER>هنری مایرز</ANSWER>,1627663,116
پیش از وقوع مهاجرت گسترده در جریان قرن بیستم و پس از آن، جمعیت خوزستان غالباً از چند گروه زبانی تشکیل می‌شد؟,دو گروه زبانی,<ANSWER>۴</ANSWER>,1614183,108
رضاشاه پهلوی در چه سال‌هایی پادشاه ایران بود؟,از ۱۳۰۴ تا ۱۳۲۰ خورشیدی,<ANSWER>سال ۱۳۰۴ تا سال ۱۳۲۰</ANSWER>,1637104,123
ناصرالدین شاه در چه سالی از دنیا رفت؟,,<ANSWER>سال ۱۸۹۶</ANSWER>,1604009,102
نوار سیلیسیمی چیست؟,,<ANSWER>ردیاب ذرات</ANSWER>,1624866,114
فرهنگ بودایی در کدام قرن به رشد و شکوفایی رسید؟,قرن هشتم,<ANSWER>قرن سوم پیش از میلاد</ANSWER>,1622780,113
دیگر چهرهٔ شاخص کودتا اسفند 1299 که بود؟,سید ضیاءالدین طباطبایی,<ANSWER>رضاخان</ANSWER>,1637549,123
 در چه سالی برای اولین بار مسابقات جام جهانی دارای مرحله گروهی شدند؟,۱۹۳۴,<ANSWER>سال ۱۹۵۰</ANSWER>,1606631,104
چه کشورهایی از قاره اروپا یک بار میزبان مسابقات جام جهانی بوده‌اند؟,سوئیس ، سوئد ، انگلستان ،اسپانیا ، آلمان ،روسیه و آلمان غربی,<ANSWER>سوئیس، سوئد، انگلستان، اسپانیا و روسیه</ANSWER>,1606460,104
در بازه 1996 تا 2006 چند نفر از گیلان مهاجرت کردند؟,۱۷۷٬۷۰۷ نفر,<ANSWER>۴۶٬۳۲۶ نفر</ANSWER>,1609910,106
به چه دلیل رشته بدن‌سازی در سال ۲۰۱۰ از برنامه رقابت‌های بازی‌های آسیایی کنار گذاشته شد؟,به دنبال انتقاد از نحوه و کیفیت داوری در رقابت‌های رشتهٔ بدن‌سازی در بازی‌های سال ۲۰۰۶,به دلیل دوپینگ زیاد,1648645,130
ساسانیان با چه کسانی دشمنی داشتند؟,اشکانیان,<ANSWER>رومیان و هپتالیان</ANSWER>,1642078,126
در چه روزهایی گیلان گردشگران زیادی را به سوی خود جلب می‌کند؟,روزهای تعطیل و غیرتعطیل,<ANSWER>پنج‌شنبه و جمعه</ANSWER>,1610372,106
مرحله ی توسعه و بلوغ برای یک قطعه نرم افزار را شرح دهید.,,<ANSWER>ایجاد، آزمایش و نگهداری نرم‌افزار تا رسیدن به ثبات و عملکرد بهینه</ANSWER>,1644243,127
گروه ویژه مهندسی اینترنت چه گروهی است؟,سازمانی بین‌المللی و غیرانتفاعی است و هر فردی می‌تواند در وظایفشان با آن مشارکت کند,<ANSWER>گروه مهندسی اینترنت</ANSWER>,1618993,111
کلیه روستاهای دهستان رودبار در چه منطقه‌ای قرار گرفته؟,منطقه‌ای کاملاً کوهستانی,<ANSWER>شهرستان رودبار</ANSWER>,1626606,115
صدا و سیمای مرکز گیلان در چه سالی فعالیت خود را شروع کرد؟,۱۳۳۴,<ANSWER>سال ۱۳۵۱</ANSWER>,1610537,106
یک نرم‌افزار پیام‌رسان نام ببرید؟,,<ANSWER>واتس‌اپ</ANSWER>,1619390,111
چند عضو شورای المپیک آسیا در بازی‌های آسیایی ۲۰۱۰ حضور پیدا کردند؟,۴۵ عضو,۴۵ عضو</ANSWER>,1648697,130
در کدام کشور برای اولین بار مسابقات جام جهانی  دارای مرحله گروهی شدند؟,ایتالیا,<ANSWER>ایتالیا</ANSWER>,1606632,104
مردم شهرستان اندیمشک و شوش به چه زبانی صحبت می‌کنند؟,زبان لری بالاگریوه ای,<ANSWER>فارسی و لری و عربی</ANSWER>,1614239,108
نام پسر یزدگرد اول چه بود؟,نرسی,<ANSWER>بهرام پنجم</ANSWER>,1642526,126
در سال 1381 شمسی، در مکاتبات انگلیسی، نام دریای شمال ایران چه چیزی اعلام شد؟,کاسپین,<ANSWER>خلیج فارس</ANSWER>,1628936,117
شعار رونالد ریگان در انتخابات سال 1980 چه بود؟,کاهش مالیات‌ها، کاهش هزینه‌های دولت، تقویت بودجه نظامی و کاهش دخالت‌های دولت در امر بخش خصوصی,<ANSWER>آمریکا را دوباره بزرگ کنیم</ANSWER>,1635991,122
چه چیزی در صفحات وب پربیننده می‌تواند سود زیادی دربرداشته باشد؟,تبلیغ برخط,<ANSWER></ANSWER>,1619549,111
 تغییر سرخ و تغییر آبی در چه مقیاسی اتفاق می افتد؟,در مقیاس بسیار کمی,<ANSWER>مقیاس کیهانی</ANSWER>,1640567,125
تفرش با چه جاذبه‌هایی همه ساله پذیرای انبوه مسافران از اقصی نقاط ایران می‌باشد؟,جاذبه‌های طبیعی و تاریخی و امامزاده‌های متعدد,وجود اماکن مذهبی و نیز قابلیت‌های اکوتوریستی منحصربه‌فرد، مانند غار امجک و منطقه شکار ممنوع بازرجان,1626434,115
حزب لیبرال کانادا را توضیح دهید.,,<ANSWER>یک حزب سیاسی فدرال در کانادا است</ANSWER>,1639353,124
شاپور پیروزی خودش را چگونه جشن گرفت؟,شاپور پیروزی خود را با کنده‌کاری کردن یک نقش برجسته شکوهمند در نقش رستم و بیشاپور,<ANSWER>به راه انداختن یک آتش مقدس در آذرگشسپ</ANSWER>,1642018,126
چه کسی در نشریهٔ خود دربارهٔ کشف حجاب و آزادی زنان نوشت و به دلیل شکایت ناظر شریعت زندان محکوم شد؟,ابراهیم خواجه‌نوری,صدیقه دولت‌آبادی,1637896,123
هدف بنیانگذاران گوگل از انتخاب واژه‌ی گوگول چه بود؟,نشان دادن این موضوع بود که موتور جستجوی مورد نظر آنها قرار است که جستجو را در انبوهی از اطلاعات به انجام رساند,<ANSWER>نشان‌دهندهٔ توانایی این جست‌وجوگر برای ارائهٔ حجم بالایی از اطلاعات</ANSWER>,1611768,107
چه چیزی در ریه‌ها به جابجایی کربن مونوکسید از گروه هموگلوبین کمک می‌کند؟,افزایش غلظت اکسیژن,<ANSWER>اکسیژن</ANSWER>,1625207,114
مزار کاشف السلطنه چند سال قدمت دارد؟,,<ANSWER>۹۵ سال</ANSWER>,1610431,106
"کدام دانشنامه در مدخل ""دید عوام نسبت به هویت گیلانی"" می‌نویسد؟",دانشنامه ایرانیکا,<ANSWER>دانشنامهٔ فرهنگ و تمدن گیلان</ANSWER>,1610484,106
ابن مجاهد در چه قرنی می‌زیست؟,چهارم هجری,<ANSWER>قرن سوم</ANSWER>,1601450,100
در سال 2012 جمهوری آذربایجان روزانه چند هزار بشکه نفت از دریای خزر استخراج می‌کرد؟,۸۹۰,<ANSWER>۸۳۵ هزار بشکه</ANSWER>,1629156,117
چه کسی جانشین خوبی برای برادر خود نبود؟,اردشیر دوم,محمد خدابنده</ANSWER>,1642469,126
مواد اولیه ی ایلیاد و ادیسه ی هومر از کدام تمدن گرفته شده است؟ ,تمدن باستانی اژه‌ای,<ANSWER>تمدن میسنی</ANSWER>,1647027,129
در چه سالی قباد اول گریخت؟,۴۹۸,<ANSWER>سال ۴۹۶</ANSWER>,1642803,126
آبشار نیاگارا در کدام کشور می باشد؟,کانادا,<ANSWER>کانادا</ANSWER>,1639239,124
برنامه‌نویس‌ها در بخش‌های سازمان فناوری اطلاعات چه شرکت‌هایی کار می‌کنند؟,شرکت‌های نرم‌افزاری بزرگ، شرکت‌های خدمت‌رسانی کوچک و نهادهای دولتی,<ANSWER></ANSWER>,1634179,121
